id,term_ko,term_en,abbreviation,definition,subject,topic_id,frequency,is_starred,is_hidden,mastery_level,related_keywords,source,created_at,updated_at
11,코비트,Control Objectives for Information and Related Technology,COBIT,"IT 거버넌스 및 관리를 위해 글로벌 ISACA에서 제정한 국제 표준 통제 프레임워크입니다. 조직의 IT 활동을 계획 및 조직(APO), 구축 및 인수(BAI), 인도 및 지원(DSS), 모니터링 및 평가(MEA) 등 4대 도메인 프로세스로 분류하여 통제 지표를 제시합니다. 감리 시에는 COBIT 통제 프레임워크에 따른 위험 식별과 품질 평가 주기의 적정성을 점검합니다.",PM,15,1,false,false,0,"[""ISACA"", ""APO"", ""BAI"", ""DSS"", ""MEA""]","[""COBIT 표준 문서""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
12,역량 성숙도 통합 모델,Capability Maturity Model Integration,CMMI,조직의 소프트웨어 개발 및 비즈니스 프로세스 능력을 평가하고 개선하기 위한 통합 성숙도 모델입니다. 프로세스 영역(PA)들을 평가하여 조직의 성숙도를 단계형(1~5단계) 또는 연속형(0~5단계)으로 정의합니다. 감리 시에는 개발 프로세스의 공식 수행 적절성 및 품질보증(QA) 체계가 실제 구축되어 작동하는지를 점검합니다.,SE,17,1,false,false,0,"[""성숙도5단계"", ""프로세스영역"", ""연속형"", ""단계형""]","[""기출 빈출 표준""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
13,소프트웨어 프로세스 성숙도 평가 모델,Capability Maturity Model,CMM,"카네기멜론 대학 소프트웨어 공학 연구소(SEI)에서 개발한 초기 소프트웨어 프로세스 평가 모델로, 조직의 프로세스 성숙도를 1단계(초기)부터 5단계(최적화)로 정량 측정합니다. 현재는 시스템 엔지니어링 등을 아우르는 CMMI 모델로 통합 발전되었습니다. 감리 시에는 이전 CMM 레벨에서 CMMI 성숙도 등급 체계로의 전환 유효성과 핵심 프로세스 개선 증적을 점검합니다.",SE,17,1,false,false,0,"[""SEI"", ""성숙도5단계"", ""KPA"", ""프로세스개선""]","[""기출 역사 표준""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
14,소프트웨어 프로세스 평가 표준,Software Process Improvement and Capability Determination,SPICE,"소프트웨어 프로세스 평가 및 개선을 위한 국제 표준 프레임워크(ISO/IEC 15504, 현재 ISO/IEC 33000 시리즈)입니다. 프로세스 수행 능력을 수행(Level 1)부터 최적화(Level 5)까지 6단계 등급으로 구분 평가합니다. 감리 시에는 CMMI와의 매핑 비교 및 조직의 표준 프로세스 수행 능력이 SPICE 심사 요구 기준을 충족하는지 점검합니다.",SE,18,1,false,false,0,"[""ISO 15504"", ""ISO 33000"", ""수행능력레벨"", ""프로세스개선""]","[""ISO/IEC 15504 국제 표준""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
15,테스트 주도 개발,Test Driven Development,TDD,"구현 코드를 작성하기 전에 테스트 케이스를 먼저 개발하고, 이를 통과하는 최소한의 코드를 점진적으로 작성해 나가는 애자일 개발 기법입니다. 'Red(실패하는 테스트)-Green(성공하는 코드)-Refactor(리팩토링)'의 짧은 반복 주기를 통해 디자인을 단순화하고 결함을 예방합니다. 감리 시에는 요구사항 명세가 테스트 시나리오에 완전하게 투영되어 커버리지를 만족하는지 점검합니다.",SE,20,1,false,false,0,"[""Red-Green-Refactor"", ""단위테스트"", ""회귀테스트""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
16,마이크로서비스 아키텍처,Microservices Architecture,MSA,하나의 거대한 애플리케이션을 독립적으로 배포 및 실행 가능한 핵심 서비스 단위로 나누어 통합하는 소프트웨어 아키텍처입니다. 각 서비스는 자체 데이터베이스를 소유하며 API Gateway와 메시지 브로커를 통해 상호 통신합니다. 감리 시에는 서비스 간의 느슨한 결합(Loose Coupling) 준수 여부 및 데이터 일관성(Saga 패턴 등) 제어 방안의 적정성을 점검합니다.,SE,22,1,false,false,0,"[""API Gateway"", ""느슨한결합"", ""Saga 패턴"", ""독립 배포""]","[""기출 핵심 트렌드""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
17,기능점수,Function Point,FP,"사용자 관점의 논리적 요구 기능을 정량화하여 소프트웨어 규모 및 개발 비용을 산정하는 표준 기법입니다. 데이터 기능(ILF, EIF)과 트랜잭션 기능(EI, EO, EQ)의 가중치를 계산하여 규모를 도출합니다. 감리 시에는 SW사업 대가산정 가이드에 따른 간이법/상세법의 적용 기준 및 보정계수 산출의 정당성을 점검합니다.",SE,23,1,false,false,0,"[""간이법"", ""상세법"", ""데이터기능"", ""트랜잭션기능""]","[""SW사업 대가산정 가이드""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
18,리팩토링,Refactoring,Refactoring,"소프트웨어의 외부 동작적 기능은 변경하지 않은 채, 내부 소스코드 구조를 개선하여 가독성과 유지보수성을 극대화하는 기법입니다. 기술 부채(Technical Debt)를 줄이고 악취(Bad Smell)가 나는 코드를 정제하기 위해 수행합니다. 감리 시에는 리팩토링 후 기존 기능의 정상 작동을 보장하는 회귀 테스트(Regression Test) 수행 결과와 코드 사양 위반을 교정한 증적을 점검합니다.",SE,25,1,false,false,0,"[""Bad Smell"", ""Technical Debt"", ""Clean Code"", ""회귀테스트""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
19,데브옵스,DevOps,DevOps,"소프트웨어 개발(Development)과 IT 운영(Operations)을 긴밀하게 연계하여 배포 주기 단축과 무장애 릴리즈를 지향하는 개발 문화 및 방법론입니다. 지속적인 빌드, 통합, 테스트 및 실시간 배포(CI/CD) 파이프라인의 자동화를 통해 생산성을 극대화합니다. 감리 시에는 형상 관리 도구의 브랜치 전략 및 배포 자동화 단계에서의 보안 취약점 검증(DevSecOps) 적절성을 점검합니다.",SE,26,1,false,false,0,"[""CI/CD"", ""Feedback Loop"", ""자동화"", ""DevSecOps""]","[""기출 최신 기술""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
20,디자인 패턴,Design Pattern,Design Pattern,"소프트웨어 설계 시 자주 발생하는 공통적 문제들에 대해 검증되고 재사용 가능한 객체지향적 설계 구조 해결책입니다. GoF(Gang of Four) 패턴은 크게 생성, 구조, 행위의 3가지 범주로 구성됩니다. 감리 시에는 프레임워크 설계 표준의 준수성 및 변경이 용이하고 유연한 설계 원칙(SOLID)이 구현 단계에 반영되었는지 점검합니다.",SE,28,1,false,false,0,"[""GoF 패턴"", ""생성패턴"", ""구조패턴"", ""행위패턴""]","[""GoF 디자인 패턴""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
21,도메인 주도 설계,Domain Driven Design,DDD,비즈니스 도메인의 핵심 개념과 로직을 중심으로 소프트웨어를 모델링하고 설계하는 아키텍처 방식입니다. 현업 전문가와 개발자가 동일하게 사용하는 보편적 언어(Ubiquitous Language)를 정의하고 독립적 하위 도메인인 Bounded Context를 구획합니다. 감리 시에는 모듈 간 간섭을 최소화하는 도메인 경계의 설정 및 이벤트 기반 아키텍처와의 융합 설계가 적정한지 점검합니다.,SE,29,1,false,false,0,"[""Ubiquitous Language"", ""Bounded Context"", ""Aggregate""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
22,ISO/IEC 25010,Software Quality Standard,ISO 25010,"소프트웨어 제품 품질 평가를 위해 기능성, 신뢰성, 사용성, 효율성, 유지보수성, 이식성, 보안성, 호환성 등 8대 주 품질 특성을 정의한 국제 표준 표준 규격입니다. 각 특성은 여러 부특성으로 세분화됩니다. 감리 시에는 요구사항 정의 단계에서 소프트웨어 비기능적 품질 요건들이 ISO 25010 표준에 부합하게 정의되었는지 점검합니다.",SE,18,1,false,false,0,"[""SQuaRE"", ""품질특성"", ""보안성"", ""호환성""]","[""기출 빈출 표준""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
23,정적 분석,Static Analysis,Static Analysis,"소프트웨어를 실제로 실행하지 않고 소스 코드 자체를 도구로 자동 분석하여 결함, 복잡도, 코딩 표준 위반을 검사하는 기법입니다. 구문 분석, 제어 흐름 분석, 데이터 흐름 분석을 통해 예외 발생 가능 구간을 조기에 탐지합니다. 감리 시에는 시큐어 코딩 및 규칙 검사 도구의 룰셋 검출 결과와 탐지된 결함에 대한 조치 적정성을 점검합니다.",SE,30,1,false,false,0,"[""코드리뷰"", ""룰셋 검사"", ""잠재적결함"", ""MISRA-C""]","[""전자정부 개발가이드""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
24,트랜잭션 4대 특성,Atomicity Consistency Isolation Durability,ACID,"데이터베이스 트랜잭션이 안전하게 수행됨을 보장하는 4대 필수 성질로, 원자성(All or Nothing), 일관성(제약 준수), 고립성(독립 수행), 지속성(결과 보존)을 의미합니다. 동시성 제어와 회복 기법을 통해 보장됩니다. 감리 시에는 비즈니스 핵심 처리 단계에서 트랜잭션 경계 설정의 적정성과 Isolation Level 설정에 따른 이상 현상 방지책을 점검합니다.",DB,32,1,false,false,0,"[""원자성"", ""일관성"", ""고립성"", ""지속성"", ""Commit""]","[""기출 필수 개념""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
25,데이터 정규화,Database Normalization,Normalization,"관계형 데이터베이스 설계 시 데이터 중복성과 이상현상(삽입, 삭제, 갱신)을 제거하기 위해 데이터 구조를 논리적으로 분해하는 정형 기법입니다. 함수적 종속성을 파악하여 1정규형(도메인 원자성)부터 3정규형(이행적 종속 제거), BCNF(모든 결정자가 후보키) 등으로 분해합니다. 감리 시에는 데이터 중복 최소화와 참조 무결성 제약의 적정 수립 여부를 점검합니다.",DB,34,1,false,false,0,"[""제3정규형"", ""BCNF"", ""이상현상"", ""함수적종속성""]","[""기출 필수 정복""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
26,비관계형 데이터베이스,Not Only SQL,NoSQL,"관계형 모델 및 스키마의 제약을 완전히 탈피하여 대용량 분산 로그 및 비정형 데이터를 유연하게 저장하고 처리하는 분산 데이터베이스 기술입니다. 데이터 구조에 따라 Key-Value, Document, Column-Family, Graph 등으로 구분됩니다. 감리 시에는 비정형 데이터 분석 처리 목적에 부합하는 저장 기술 선정 적정성 및 분산 환경의 가용성 보장책을 점검합니다.",DB,35,1,false,false,0,"[""Key-Value store"", ""Document store"", ""BASE"", ""Sharding""]","[""기출 최신 기술""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
27,인덱싱 구조 B-Tree,Balanced Tree Indexing,B-Tree,"검색 경로를 단축하기 위해 노드의 삽입/삭제 시 스스로 균형을 유지하며 데이터를 탐색하는 관계형 DB의 핵심 물리적 인덱싱 자료구조입니다. 탐색, 삽입, 삭제가 모두 O(log N)의 균일한 성능을 냅니다. 감리 시에는 빈번하게 조회/조건 필드로 사용되는 테이블 열에 대해 물리 데이터 모델링 상 인덱스가 올바르게 구성되고 튜닝되었는지 점검합니다.",DB,36,1,false,false,0,"[""Balanced Tree"", ""B+Tree"", ""인덱스스캔"", ""성능튜닝""]","[""기출 단골 출제""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
28,데이터 거버넌스,Data Governance,Data Governance,"전사적 데이터 품질, 메타데이터 관리, 마스터데이터 관리, 데이터 표준화 및 표준 준수성을 보장하기 위해 수립하는 종합 통제 절차 및 관리 체계입니다. 데이터 표준 수립, 조직 구성, 거버넌스 프로세스 정의가 포함됩니다. 감리 시에는 공공기관 등의 데이터베이스 관리 가이드라인에 따른 메타데이터의 표준화 관리 및 정기 품질진단 수행 체계를 점검합니다.",DB,38,1,false,false,0,"[""메타데이터"", ""데이터표준화"", ""데이터품질"", ""DAMA""]","[""공공데이터 관리지침""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
29,동시성 제어 2단계 잠금 규약,Two-Phase Locking protocol,2PL,트랜잭션 실행 시 자원의 잠금을 확장하는 단계(Growing Phase)와 잠금을 해제하는 단계(Shrinking Phase)로 분리해 트랜잭션의 직렬가능성을 보장하는 동시성 제어 기술입니다. 교착 상태(Deadlock)가 발생할 수 있는 부작용이 있습니다. 감리 시에는 병행 트랜잭션 다량 발생 환경 하에 발생할 수 있는 동시성 부작용을 막기 위한 락 제어 구조의 적정성을 점검합니다.,DB,32,1,false,false,0,"[""확장단계"", ""축소단계"", ""직렬가능성"", ""데드락""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
30,다중 버전 동시성 제어,Multi-Version Concurrency Control,MVCC,데이터 변경 기록을 버전별로 저장해 읽기 작업 시 쓰기 락(Lock)을 기다리지 않고 해당 시점 스냅샷을 읽을 수 있게 보장해주는 고성능 동시성 제어 기법입니다. 쓰기와 읽기가 서로 방해받지 않아 트랜잭션 처리율이 높습니다. 감리 시에는 대량의 조회와 수정이 중복 발생하는 분산 DB 환경에서 트랜잭션 고립 수준(Isolation Level) 설정의 안전성을 점검합니다.,DB,32,1,false,false,0,"[""스냅샷격리"", ""Undo 로그"", ""Read Committed"", ""락프리""]","[""기출 고급 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
31,클라우드 컴퓨팅,Cloud Computing,Cloud,"인터넷 망을 통하여 가상화된 IT 인프라(서버, 스토리지, DB 등) 자원을 온디맨드로 민첩하게 확장/사용하며 사용한 만큼만 지불하는 컴퓨팅 서비스 모델입니다. 인프라 가상화, 자동 확장(Auto-scaling) 등이 핵심 특징입니다. 감리 시에는 클라우드 도입 가이드라인을 기준으로 인프라 이중화 설계 상태와 보안 조치 적정성을 점검합니다.",SA,40,1,false,false,0,"[""가상화"", ""탄력성"", ""종량제"", ""서버리스""]","[""초거대 AI 도입 가이드라인""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
32,이중화 디스크 구성,Redundant Array of Independent Disks,RAID,"복수의 물리적 하드디스크를 단일의 논리적 디스크로 묶어 성능 향상(스트라이핑) 및 데이터 유실 복원력(패리티 분산)을 제공하는 저장장치 다중화 기술입니다. RAID 0, 1, 5, 6 등으로 복원 등급을 구분합니다. 감리 시에는 시스템 요구 성능 및 고가용성 요건에 따른 RAID 구성 적정성과 복구 절차 유효성을 점검합니다.",SA,42,1,false,false,0,"[""RAID 0"", ""RAID 1"", ""RAID 5"", ""패리티""]","[""기출 단골 문제""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
33,소프트웨어 정의 네트워크,Software Defined Networking,SDN,네트워크 하드웨어 장비에서 컨트롤 플레인(제어 영역)을 완전 분리하여 하나의 중앙 집중형 컨트롤러 소프트웨어로 전체 통신을 조율하는 기술입니다. 오픈 API(예: OpenFlow)를 통해 장비들을 프로그래밍 방식으로 제어합니다. 감리 시에는 네트워크 아키텍처 구성 시 가상 스위치 및 포트 정책의 논리적 보안 격리 및 트래픽 폭주 대책을 점검합니다.,SA,44,1,false,false,0,"[""OpenFlow"", ""Control Plane"", ""Data Plane"", ""가상화""]","[""기출 빈출 기술""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
34,콘텐츠 전송 네트워크,Content Delivery Network,CDN,용량이 큰 웹 리소스 및 동영상 파일을 지리적으로 사용자와 가까운 엣지 캐시 서버들에 미리 캐싱해두어 전송 지연과 주 서버의 대역폭 소모를 해소하는 분산 서버 시스템입니다. 캐시 히트율(Cache Hit Rate) 관리가 중요합니다. 감리 시에는 CDN 배포 환경 설계 시 엣지 서버의 갱신 주기 및 보안 통신(HTTPS) 처리 구조를 점검합니다.,SA,45,1,false,false,0,"[""Edge Server"", ""캐시"", ""DNS 리다이렉션""]","[""기출 핵심 개념""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
35,서비스 지향 아키텍처,Service Oriented Architecture,SOA,비즈니스 기능들을 상호 연동 가능하고 느슨하게 결합된 표준 프로토콜 기반의 '서비스' 단위로 부품화하고 연결하여 전체 소프트웨어를 구축하는 설계 사상입니다. 주로 엔터프라이즈 서비스 버스(ESB)를 통하여 통합을 조율합니다. 감리 시에는 서비스 공유 표준 설계 규범과 인터페이스 규정의 유효성을 점검합니다.,SA,46,1,false,false,0,"[""ESB"", ""WSDL"", ""SOAP"", ""재사용성""]","[""기출 아키텍처 범위""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
36,가상 격리 컨테이너,OS-level Containerization,Container,호스트 OS 커널 공간을 가볍게 공유하며 독립적인 애플리케이션 실행 환경을 파일시스템 및 네트워크 레벨에서 완전 격리 구동하는 차세대 가상화 기술입니다. 게스트 OS를 띄우는 가상머신(VM)에 비해 부팅 속도가 빠르고 리소스 오버헤드가 적습니다. 감리 시에는 컨테이너 이미지 취약점 검사 이행과 권한 탈취 방지를 위한 보안 프로필의 적정성을 점검합니다.,SA,47,1,false,false,0,"[""Docker"", ""네임스페이스"", ""컨테이너이미지"", ""Cgroups""]","[""기출 최신 인프라""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
37,컨테이너 오케스트레이션,Container Orchestration Engine,Kubernetes,"가상 컨테이너들의 자동 배포, 자가 치유(Self-healing), 동적 로드밸런싱 및 가용한 인프라 자원 확장을 통합 관리해주는 표준 관리 시스템입니다. 대표적으로 쿠버네티스(K8s)가 활용됩니다. 감리 시에는 오케스트레이터의 마스터 노드 가용성 설계 및 외부 트래픽 수입을 처리하는 Ingress 설정의 안전성을 점검합니다.",SA,47,1,false,false,0,"[""K8s"", ""Pod"", ""ReplicaSet"", ""Auto-scaling""]","[""기출 최신 인프라""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
38,가상화 하이퍼바이저,Virtualization Hypervisor,Hypervisor,단일 물리 서버 하드웨어 위에 가상화 관리 계층을 두어 독립된 복수의 게스트 OS(가상머신)를 동시에 동작시키는 플랫폼 가상화 기술입니다. 하드웨어 위에 직접 올리는 Bare-Metal(Type-1)과 호스트 OS 위에 구동하는 Hosted(Type-2)로 구분됩니다. 감리 시에는 가상머신 간의 자원 겹침 방지 및 자원 할당량의 적정 임계치 통제를 점검합니다.,SA,47,1,false,false,0,"[""가상머신"", ""Bare-Metal"", ""Hosted"", ""게스트OS""]","[""기출 빈출""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
39,명령어 파이프라이닝,Instruction Pipelining,Pipelining,"하나의 명령어가 처리되는 과정을 여러 단계(인출, 해독, 실행 등)로 분할하여 동시에 서로 다른 명령어를 중첩 수행함으로써 처리 성능을 극대화하는 CPU 고속화 기술입니다. 데이터, 구조, 제어 해저드(Hazard)로 인해 파이프라인 정지 현상이 발생합니다. 감리 시에는 지연 현상을 극복하기 위한 분기 예측 및 아웃오브오더(OoO) 실행 설계의 타당성을 점검합니다.",SA,49,1,false,false,0,"[""데이터해저드"", ""구조해저드"", ""제어해저드"", ""분기예측""]","[""기출 단골 문제""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
40,대칭키 암호화,Symmetric Key Cryptography,대칭키암호,"암호화와 복호화에 동일한 대칭키(비밀키)를 사용하는 고속 대용량 데이터 보안 처리 암호 체계입니다. 블록 암호(AES, SEED, ARIA, DES)와 스트림 암호(RC4, SEAL) 방식으로 구분됩니다. 감리 시에는 중요 데이터 암호화 적용 규범 준수 여부 및 비밀키의 안전한 생성/보관/분배 통제 절차의 적정성을 점검합니다.",SC,51,1,false,false,0,"[""비밀키암호"", ""AES"", ""SEED"", ""키분배문제""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
41,비대칭키 암호화,Asymmetric Key Cryptography,비대칭키암호,"암호화 시에는 누구나 사용할 수 있는 공개키(Public Key)를 쓰고, 복호화 시에는 소유자만 아는 개인키(Private Key)를 사용하는 비대칭 키 수학적 암호 기술입니다. 대표적으로 RSA(소인수분해), ECC(타원곡선), DH(이산대수) 알고리즘이 있습니다. 감리 시에는 키 쌍의 관리 규칙 및 공개키 보장 인프라(PKI 인증서) 연동의 안전성을 점검합니다.",SC,51,1,false,false,0,"[""공개키암호"", ""개인키"", ""RSA"", ""전자서명""]","[""기출 핵심 이론""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
42,정보보호 관리체계 인증,Information Security Management System - Personal,ISMS-P,"조직의 핵심 정보자산 및 개인정보 보호를 위한 관리적, 기술적, 물리적 통제 조치들이 정부 표준 고시 심사 기준을 충족하는지 종합적으로 심사하는 국가 공인 정보보호 인증제도입니다. 관리체계 수립, 보호대책 요구사항, 개인정보 처리 단계별 요구사항 등 총 102개 인증 기준을 따릅니다. 감리 시에는 정보보호 법적 준거성 확보 상태를 점검합니다.",SC,53,1,false,false,0,"[""인증기준102개"", ""관리과정"", ""개인정보보호"", ""법적의무""]","[""기출 초빈출 제도""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
